epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.9139,1.30931,1.70492,1.34669,0.54916,0.42031,0.49841,0.32059,1.62962,2.12879,1.52371,0.000660045,0.000660045,0.000660045
43,80.7695,1.31404,1.7335,1.30815,0.42144,0.55452,0.49936,0.30941,1.66405,2.0108,1.52798,0.000649046,0.000649046,0.000649046
44,82.6486,1.2742,1.60702,1.26191,0.47132,0.53206,0.51444,0.26633,1.65172,2.03031,1.55284,0.000638047,0.000638047,0.000638047
45,84.5781,1.28917,1.58673,1.30966,0.44436,0.57308,0.52346,0.31532,1.66782,2.05825,1.54776,0.000627048,0.000627048,0.000627048
46,86.4614,1.32857,1.61838,1.27934,0.41042,0.58133,0.51287,0.29061,1.68713,2.06804,1.54555,0.000616049,0.000616049,0.000616049
47,88.3062,1.26914,1.52958,1.263,0.52814,0.41918,0.49969,0.25822,1.57079,2.08807,1.46588,0.000605051,0.000605051,0.000605051
48,90.1221,1.21317,1.56563,1.24188,0.60025,0.46936,0.51862,0.28173,1.64359,2.10076,1.53248,0.000594052,0.000594052,0.000594052
49,91.9552,1.26026,1.55375,1.31204,0.60592,0.5077,0.53413,0.31267,1.69052,2.0843,1.59996,0.000583053,0.000583053,0.000583053
50,93.8133,1.23369,1.81944,1.28921,0.52886,0.49121,0.5031,0.27955,1.77015,2.15654,1.67013,0.000572054,0.000572054,0.000572054
51,95.6765,1.22764,1.49967,1.20922,0.50235,0.49121,0.50989,0.28372,1.77351,2.23045,1.68872,0.000561055,0.000561055,0.000561055
52,97.5394,1.18625,1.49496,1.22203,0.54763,0.48121,0.5126,0.28702,1.75501,2.36126,1.68975,0.000550056,0.000550056,0.000550056
53,103.023,1.22131,1.51153,1.23924,0.47289,0.49909,0.47573,0.30953,1.71573,2.44174,1.68356,0.000539057,0.000539057,0.000539057
54,105.604,1.21934,1.47764,1.24569,0.43217,0.53591,0.48911,0.33104,1.69072,2.41602,1.66949,0.000528058,0.000528058,0.000528058
55,107.963,1.21629,1.44265,1.21731,0.46101,0.55727,0.4906,0.29359,1.81666,2.18153,1.75925,0.000517059,0.000517059,0.000517059
56,110.589,1.18407,1.52473,1.23478,0.51952,0.51909,0.49908,0.28359,1.76686,2.09827,1.72651,0.00050606,0.00050606,0.00050606
57,113.017,1.19267,1.4682,1.22084,0.51555,0.5643,0.50004,0.2611,1.78127,2.10285,1.73755,0.000495062,0.000495062,0.000495062
58,115.461,1.20134,1.53233,1.27499,0.5198,0.54394,0.49188,0.24932,1.75758,2.14465,1.6964,0.000484063,0.000484063,0.000484063
59,117.89,1.19232,1.43039,1.20353,0.55783,0.56238,0.50212,0.24322,1.86721,2.08742,1.83208,0.000473064,0.000473064,0.000473064
60,120.39,1.13994,1.36704,1.18306,0.55765,0.5993,0.52282,0.28337,1.75094,2.07937,1.73843,0.000462065,0.000462065,0.000462065
61,122.778,1.12034,1.3349,1.16278,0.55204,0.5725,0.51594,0.30087,1.69832,2.07785,1.67778,0.000451066,0.000451066,0.000451066
62,125.256,1.16969,1.36193,1.19099,0.44763,0.63284,0.51336,0.29703,1.69599,2.05124,1.63132,0.000440067,0.000440067,0.000440067
63,127.778,1.1483,1.29711,1.17239,0.47608,0.61224,0.52371,0.30249,1.7171,2.18095,1.61636,0.000429068,0.000429068,0.000429068
64,130.433,1.08399,1.30199,1.16832,0.56633,0.55275,0.52685,0.29515,1.72396,2.12325,1.67362,0.000418069,0.000418069,0.000418069
65,132.925,1.07387,1.33291,1.19702,0.5326,0.57394,0.51624,0.32262,1.86382,2.08162,1.84536,0.00040707,0.00040707,0.00040707
66,135.457,1.10065,1.27151,1.17885,0.58519,0.55278,0.5081,0.30453,1.92452,2.22266,1.89171,0.000396071,0.000396071,0.000396071
67,137.918,1.06053,1.3197,1.15792,0.4919,0.60394,0.52125,0.29877,1.86005,2.20246,1.83072,0.000385073,0.000385073,0.000385073
68,140.35,1.07075,1.28716,1.1731,0.45385,0.60394,0.51235,0.28577,1.82206,2.15841,1.81111,0.000374074,0.000374074,0.000374074
69,142.841,1.0973,1.29463,1.17228,0.47075,0.59394,0.50701,0.28512,1.87078,2.20214,1.81119,0.000363075,0.000363075,0.000363075
70,145.248,1.06353,1.26464,1.1358,0.52128,0.54744,0.54889,0.30267,1.90063,2.14587,1.82936,0.000352076,0.000352076,0.000352076
71,147.717,1.1071,1.27325,1.18113,0.56511,0.59394,0.5675,0.3147,1.88988,2.03924,1.86281,0.000341077,0.000341077,0.000341077
72,150.169,1.08314,1.27148,1.15112,0.53219,0.61807,0.57387,0.31736,1.84553,2.078,1.82254,0.000330078,0.000330078,0.000330078
73,152.603,1.0591,1.22405,1.12964,0.49914,0.63212,0.57558,0.32877,1.81266,2.10814,1.7824,0.000319079,0.000319079,0.000319079
74,154.918,1.0301,1.2054,1.12695,0.52725,0.63418,0.56899,0.29302,1.84375,2.06203,1.83425,0.00030808,0.00030808,0.00030808
75,157.267,0.98384,1.19611,1.10351,0.55867,0.63011,0.57119,0.27337,1.9317,1.97957,1.95186,0.000297081,0.000297081,0.000297081
76,159.611,1.0448,1.22289,1.13768,0.58627,0.64373,0.58368,0.27332,1.93,2.02933,1.98114,0.000286083,0.000286083,0.000286083
77,161.999,1.01507,1.19869,1.12818,0.62041,0.63212,0.5829,0.29146,1.97557,2.07834,2.00698,0.000275084,0.000275084,0.000275084
78,164.438,1.0335,1.21715,1.12239,0.62647,0.62331,0.57476,0.29258,1.90922,2.10503,1.9135,0.000264085,0.000264085,0.000264085
79,166.901,1.05214,1.20482,1.11576,0.61751,0.59636,0.55589,0.29074,1.86123,2.00449,1.86262,0.000253086,0.000253086,0.000253086
80,169.328,1.04621,1.17713,1.11055,0.66219,0.57521,0.5505,0.27538,1.84196,1.98244,1.83829,0.000242087,0.000242087,0.000242087
81,171.716,0.97473,1.19296,1.10096,0.64953,0.58513,0.5647,0.29498,1.84805,1.95421,1.8514,0.000231088,0.000231088,0.000231088
82,174.077,1.00425,1.15483,1.12912,0.66024,0.55353,0.53888,0.29015,1.89829,1.93481,1.88024,0.000220089,0.000220089,0.000220089
83,176.605,0.91806,1.10454,1.08927,0.62385,0.57511,0.53065,0.28821,1.92697,1.9682,1.91045,0.00020909,0.00020909,0.00020909
84,179.22,1.01007,1.15366,1.12298,0.57896,0.57394,0.52352,0.28399,1.91333,2.0047,1.91404,0.000198091,0.000198091,0.000198091
85,181.654,0.96593,1.14857,1.10047,0.57154,0.56576,0.51359,0.29602,1.88793,2.02946,1.88475,0.000187092,0.000187092,0.000187092
